executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 181ms, rows: 13 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 5,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 2ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 4,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 2ms, rows: 13 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 0ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6) RETURNING *, params: 1,300.94,8,1,1,Fri Aug 20 2021 20:18:23 GMT-0300 (Brasilia Standard Time); duration: 5ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,99,300.94,8,Fri Aug 20 2021 20:18:23 GMT-0300 (Brasilia Standard Time); duration: 2ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 99,2,13,Courier,2,150.47,0,0,300.94; duration: 2ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 1ms, rows: null }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 112ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 3,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 2,13; duration: 1ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 1,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 2ms, rows: 13 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 1ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6) RETURNING *, params: 1,451.40999999999997,8,1,1,Fri Aug 20 2021 20:19:03 GMT-0300 (Brasilia Standard Time); duration: 6ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,100,451.40999999999997,8,Fri Aug 20 2021 20:19:03 GMT-0300 (Brasilia Standard Time); duration: 2ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 400,3,13,Courier,3,150.47,0,0,451.40999999999997; duration: 9ms, rows: error }
executed query: { query: ROLLBACK, params: undefined; duration: 1ms, rows: null }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 172ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 2ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 0,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT code, discount, type_discount from promotional_codes WHERE code = $1 and deleted_at IS NULL, params: QWOEPAKMQJF47891; duration: 88ms, rows: 1 }
executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 110ms, rows: 13 }
executed query: { query: SELECT id from promotional_codes WHERE code = $1, params: QWOEPAKMQJF47891; duration: 2ms, rows: 1 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 0ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, promotional_code_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6, $7) RETURNING *, params: 1,1,541.692,8,1,1,Fri Aug 20 2021 20:27:23 GMT-0300 (Brasilia Standard Time); duration: 5ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,101,541.692,8,Fri Aug 20 2021 20:27:23 GMT-0300 (Brasilia Standard Time); duration: 3ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 101,4,13,Courier,4,135.423,10,0,541.692; duration: 2ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 4ms, rows: null }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 124ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 19,13; duration: 3ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 18,13; duration: 1ms, rows: 1 }
executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 1ms, rows: 13 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 1ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6) RETURNING *, params: 1,300.94,8,1,1,Fri Aug 20 2021 20:28:30 GMT-0300 (Brasilia Standard Time); duration: 5ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,102,300.94,8,Fri Aug 20 2021 20:28:30 GMT-0300 (Brasilia Standard Time); duration: 3ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 102,2,13,Courier,2,150.47,0,0,300.94; duration: 2ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 1ms, rows: null }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 168ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 17,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 16,13; duration: 1ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 15,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 14,13; duration: 2ms, rows: 1 }
executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 2ms, rows: 13 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 0ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6) RETURNING *, params: 1,601.88,8,1,1,Fri Aug 20 2021 20:29:47 GMT-0300 (Brasilia Standard Time); duration: 5ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,103,601.88,8,Fri Aug 20 2021 20:29:47 GMT-0300 (Brasilia Standard Time); duration: 2ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 103,4,13,Courier,4,150.47,0,0,601.88; duration: 1ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 0ms, rows: null }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 185ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 13,13; duration: 1ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 12,13; duration: 1ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 11,13; duration: 1ms, rows: 1 }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT amount from stock where product_id = $1 and deleted_at IS NULL, params: 13; duration: 1ms, rows: 1 }
executed query: { query: SELECT price from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 0ms, rows: 1 }
executed query: { query: UPDATE stock SET amount = $1 WHERE product_id = $2, params: 10,13; duration: 1ms, rows: 1 }
executed query: { query: SELECT code, discount, type_discount from promotional_codes WHERE code = $1 and deleted_at IS NULL, params: QWOEPAKMQJF47891; duration: 2ms, rows: 1 }
executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 2ms, rows: 13 }
executed query: { query: SELECT id from promotional_codes WHERE code = $1, params: QWOEPAKMQJF47891; duration: 1ms, rows: 1 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 0ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, promotional_code_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6, $7) RETURNING *, params: 1,1,541.692,8,1,1,Fri Aug 20 2021 20:30:27 GMT-0300 (Brasilia Standard Time); duration: 4ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,104,541.692,8,Fri Aug 20 2021 20:30:27 GMT-0300 (Brasilia Standard Time); duration: 2ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 104,4,13,Courier,4,135.423,10,0,541.692; duration: 1ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 1ms, rows: null }
